applicant_line_1,inventor_line_1,title_line_1,issuer,language,publication_date,filing_date,applicant_line_1_1,inventor_line_1_1,title_line_1_1
Huawei Technologies Co.,"QIAN, Li","DIAL PRESENTATION METHOD, DEVICE AND SMART WATCH",EU,EN,03.10.2018,16.11.2017,Huawei Technologies Co.,"QIAN, Li","DIAL PRESENTATION METHOD, DEVICE AND SMART WATCH"
Huawei Technologies Co.,"QIN, Yun","METHOD, DEVICE AND SYSTEM FOR SELECTING GATEWAY",EU,EN,03.10.2018,22.12.2016,Huawei Technologies Co.,"QIN, Yun","METHOD, DEVICE AND SYSTEM FOR SELECTING GATEWAY"
Google Technology Holdings LLC,"BUHRKE, Eric",METHOD AND APPARATUS FOR CREATING VIRTUAL GRAFFITIIN A MOBILE VIRTUAL AND,EU,EN,05.09.2018,26.01.2010,Google Technology Holdings LLC,"BUHRKE, Eric",METHOD AND APPARATUS FOR CREATING VIRTUAL GRAFFITIIN A MOBILE VIRTUAL AND
QUALCOMM Incorporated,"SHEN, Qiang",METHODS AND APPARATUS FOR COMMON CHANNEL CANCELLATION IN WIRELESS,EU,EN,07.11.2018,24.06.2009,QUALCOMM Incorporated,"SHEN, Qiang",METHODS AND APPARATUS FOR COMMON CHANNEL CANCELLATION IN WIRELESS
Immersion Corporation,"PHAN, Loc",METHOD AND SYSTEM FOR HAPTIC DATA ENCODING,EU,EN,07.11.2018,23.05.2014,Immersion Corporation,"PHAN, Loc",METHOD AND SYSTEM FOR HAPTIC DATA ENCODING
"Lin, Hsin-Yung","Lin, Hsin-Yung",ANTI-EXPLOSION GAS GENERATOR FOR HEALTH USE,EU,EN,07.11.2018,28.05.2014,"Lin, Hsin-Yung","Lin, Hsin-Yung",ANTI-EXPLOSION GAS GENERATOR FOR HEALTH USE
NxStage Medical Inc.,"SCHNELL, William, J.","FLUID CIRCUIT PRIMING METHODS, DEVICES, AND SYSTEMS",EU,EN,07.11.2018,06.02.2014,NxStage Medical Inc.,"SCHNELL, William, J.","FLUID CIRCUIT PRIMING METHODS, DEVICES, AND SYSTEMS"
"Cisco Technology, Inc.","BHATTACHARYA, Partha",METHOD AND SYSTEM FOR DETERMINING INTRA-SESSION EVENT CORRELATION,EU,EN,07.11.2018,18.06.2004,"Cisco Technology, Inc.","BHATTACHARYA, Partha",METHOD AND SYSTEM FOR DETERMINING INTRA-SESSION EVENT CORRELATION
"Samsung Electronics Co., Ltd.","MYUNG, Se-ho",RECEIVING APPARATUS AND MODULATION METHOD THEREOF,EU,EN,07.11.2018,05.02.2015,"Samsung Electronics Co., Ltd.","MYUNG, Se-ho",RECEIVING APPARATUS AND MODULATION METHOD THEREOF
Guangdong OPPO Mobile,"YANG, Xue",PREVENTING SELF-INDUCED INTERFERENCE IN DUAL-RADIO DEVICE,EU,EN,07.11.2018,08.11.2007,Guangdong OPPO Mobile,"YANG, Xue",PREVENTING SELF-INDUCED INTERFERENCE IN DUAL-RADIO DEVICE
