state,magnitude,magnitude_type,event_type
Ha,144.0,MG,high wind
Ca,139.0,MG,high wind
Ca,136.0,MG,high wind
Ut,129.0,MG,high wind
Ut,113.0,MG,high wind
So,113.0,EG,thunderstorm wind
Wy,111.0,MG,high wind
So,109.0,EG,thunderstorm wind
So,104.0,MG,thunderstorm wind
So,104.0,EG,thunderstorm wind
Ca,104.0,MG,high wind
So,104.0,MG,thunderstorm wind
No,104.0,EG,thunderstorm wind
Oh,104.0,EG,thunderstorm wind
Oh,104.0,EG,thunderstorm wind
No,104.0,EG,thunderstorm wind
Ca,103.0,MG,high wind
Ne,101.0,MG,high wind
Ca,101.0,MG,high wind
Co,101.0,MG,high wind
Ka,100.0,EG,thunderstorm wind
Ca,98.0,MG,high wind
Ca,97.0,MG,high wind
Ne,97.0,MG,high wind
Wy,96.0,MG,high wind
Ca,96.0,MG,high wind
No,96.0,EG,thunderstorm wind
De,96.0,EG,thunderstorm wind
No,96.0,EG,thunderstorm wind
De,96.0,EG,thunderstorm wind
So,96.0,EG,thunderstorm wind
De,96.0,EG,thunderstorm wind
Mi,96.0,EG,thunderstorm wind
Pe,96.0,EG,thunderstorm wind
Ka,96.0,EG,thunderstorm wind
Ca,96.0,MG,high wind
Mi,96.0,EG,thunderstorm wind
Pe,96.0,EG,thunderstorm wind
Ca,96.0,MG,high wind
Ca,95.0,MG,high wind
Ca,95.0,MG,high wind
Wy,95.0,MG,high wind
Ne,95.0,MG,high wind
Ca,95.0,MG,high wind
Ne,94.0,MG,high wind
Ca,94.0,MG,high wind
So,93.0,MG,thunderstorm wind
Wy,93.0,MG,high wind
Co,92.0,MG,high wind
Co,91.0,MG,high wind
So,91.0,EG,thunderstorm wind
So,91.0,EG,thunderstorm wind
Ne,91.0,EG,thunderstorm wind
Ca,91.0,MG,high wind
Te,91.0,EG,thunderstorm wind
Wa,90.0,MG,high wind
Ne,90.0,MG,high wind
Ca,90.0,MG,high wind
Ne,90.0,MG,high wind
Ca,90.0,MG,high wind
Ca,89.0,MG,high wind
Ca,89.0,MG,high wind
Ca,89.0,MG,high wind
So,89.0,MG,thunderstorm wind
We,89.0,MG,thunderstorm wind
Ca,88.0,MG,high wind
Ca,88.0,MG,high wind
Oh,87.0,EG,thunderstorm wind
Te,87.0,EG,thunderstorm wind
In,87.0,EG,thunderstorm wind
In,87.0,EG,thunderstorm wind
Ka,87.0,EG,thunderstorm wind
Ka,87.0,EG,thunderstorm wind
Co,87.0,MG,high wind
Ok,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
No,87.0,EG,thunderstorm wind
Wy,87.0,EG,thunderstorm wind
Ka,87.0,EG,thunderstorm wind
Te,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
Ka,87.0,EG,thunderstorm wind
Ka,87.0,EG,thunderstorm wind
Ka,87.0,MG,thunderstorm wind
Mi,87.0,EG,thunderstorm wind
Al,87.0,EG,thunderstorm wind
Ca,87.0,MG,high wind
Ar,87.0,EG,thunderstorm wind
Te,87.0,EG,thunderstorm wind
So,87.0,EG,thunderstorm wind
So,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
Mi,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
Al,87.0,EG,thunderstorm wind
Mi,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
So,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
Mi,87.0,EG,thunderstorm wind
In,87.0,EG,thunderstorm wind
Wi,87.0,EG,thunderstorm wind
Wi,87.0,EG,thunderstorm wind
No,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
Ok,87.0,EG,thunderstorm wind
Ne,87.0,EG,thunderstorm wind
No,87.0,EG,thunderstorm wind
Pe,87.0,EG,thunderstorm wind
Pe,87.0,EG,thunderstorm wind
No,87.0,EG,thunderstorm wind
Oh,87.0,EG,thunderstorm wind
Ka,86.0,EG,thunderstorm wind
Ca,86.0,MG,high wind
Ca,86.0,MG,high wind
So,86.0,MG,thunderstorm wind
Wy,86.0,MG,high wind
Wa,86.0,MG,high wind
Or,86.0,MG,high wind
Ok,86.0,MG,thunderstorm wind
Ca,85.0,MG,high wind
We,85.0,EG,thunderstorm wind
Ca,85.0,MG,high wind
Vi,85.0,EG,thunderstorm wind
Ne,84.0,MG,high wind
So,84.0,MG,thunderstorm wind
So,84.0,EG,thunderstorm wind
Il,83.0,EG,thunderstorm wind
Id,83.0,EG,high wind
Or,83.0,MG,high wind
Al,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
Ut,83.0,MG,high wind
So,83.0,MG,thunderstorm wind
Ne,83.0,MG,high wind
Te,83.0,EG,thunderstorm wind
Ka,83.0,EG,thunderstorm wind
Mi,83.0,EG,thunderstorm wind
No,83.0,EG,thunderstorm wind
Te,83.0,EG,thunderstorm wind
Mi,83.0,EG,thunderstorm wind
Ka,83.0,EG,thunderstorm wind
Mi,83.0,EG,thunderstorm wind
Mi,83.0,EG,thunderstorm wind
Ca,83.0,MG,high wind
Al,83.0,MG,high wind
Te,83.0,EG,thunderstorm wind
Ut,83.0,EG,high wind
Ne,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
Ka,83.0,EG,thunderstorm wind
So,83.0,MG,thunderstorm wind
Ne,83.0,MG,high wind
Ca,83.0,MG,high wind
Ka,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
Ne,83.0,EG,thunderstorm wind
Ne,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
Ne,83.0,EG,thunderstorm wind
Mi,83.0,EG,thunderstorm wind
Ca,83.0,MG,high wind
Ne,83.0,EG,thunderstorm wind
Ne,83.0,EG,thunderstorm wind
Mi,83.0,EG,thunderstorm wind
Lo,83.0,EG,thunderstorm wind
So,83.0,EG,thunderstorm wind
Te,83.0,EG,thunderstorm wind
Te,83.0,EG,thunderstorm wind
Co,83.0,MG,high wind
Te,83.0,MG,high wind
Lo,83.0,EG,thunderstorm wind
Oh,83.0,EG,thunderstorm wind
Ka,82.0,EG,thunderstorm wind
Or,82.0,MG,high wind
Mi,82.0,MG,thunderstorm wind
Wy,82.0,MG,high wind
Mi,82.0,MG,thunderstorm wind
Wy,82.0,MG,thunderstorm wind
Wy,82.0,MG,thunderstorm wind
Oh,82.0,EG,thunderstorm wind
Ne,82.0,MG,high wind
Wy,81.0,MG,high wind
Or,81.0,MG,high wind
Ne,81.0,MG,high wind
Ne,81.0,MG,high wind
Mi,81.0,EG,thunderstorm wind
Al,81.0,EG,thunderstorm wind
Al,81.0,EG,thunderstorm wind
Ne,81.0,MG,high wind
Ne,81.0,MG,high wind
Ca,81.0,EG,high wind
Ne,81.0,MG,high wind
Mi,80.0,EG,thunderstorm wind
So,80.0,EG,thunderstorm wind
Vi,80.0,EG,thunderstorm wind
Ka,80.0,MG,thunderstorm wind
Ca,80.0,MG,high wind
Ma,80.0,EG,thunderstorm wind
Ma,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
So,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Mi,80.0,EG,thunderstorm wind
Fl,80.0,EG,thunderstorm wind
Ka,80.0,EG,thunderstorm wind
Oh,80.0,EG,thunderstorm wind
Vi,80.0,EG,thunderstorm wind
So,80.0,MG,thunderstorm wind
Wy,80.0,MG,high wind
Al,80.0,MG,high wind
